text,x0,x1,top,doctop,bottom,upright,height,width,direction
-,885.02968,886.94776,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,1.9180800000000318,ltr
Private,888.62392,907.66648,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,19.04255999999998,ltr
Sale,909.262,921.0988,63.98479999999995,63.98479999999995,69.74479999999994,True,5.759999999999991,11.83680000000004,ltr
State,47.04,64.09896,71.94079999999997,71.94079999999997,78.9008,True,6.960000000000036,17.058960000000006,ltr
/,66.006,67.94088,71.94079999999997,71.94079999999997,78.9008,True,6.960000000000036,1.9348800000000068,ltr
Territory,69.84792,98.40480000000002,71.94079999999997,71.94079999999997,78.9008,True,6.960000000000036,28.55688000000002,ltr
Permit,119.78,136.25936000000002,72.76112,72.76112,78.52112,True,5.759999999999991,16.479360000000014,ltr
Handgun,151.22,175.03184000000002,72.76112,72.76112,78.52112,True,5.759999999999991,23.811840000000018,ltr
Long,182.9,195.69872,72.76112,72.76112,78.52112,True,5.759999999999991,12.798720000000003,ltr
Gun,197.52464,208.63568,72.76112,72.76112,78.52112,True,5.759999999999991,11.111040000000003,ltr
*Other,215.09,231.87464,72.76112,72.76112,78.52112,True,5.759999999999991,16.784639999999996,ltr
**Multiple,238.37,262.90184,72.76112,72.76112,78.52112,True,5.759999999999991,24.53183999999999,ltr
Admin,271.01,287.1668,72.76112,72.76112,78.52112,True,5.759999999999991,16.156800000000032,ltr
Handgun,299.83,323.64184,72.76112,72.76112,78.52112,True,5.759999999999991,23.811840000000018,ltr
Long,336.79,349.58872,72.76112,72.76112,78.52112,True,5.759999999999991,12.798720000000003,ltr
Gun,351.41464,362.52568,72.76112,72.76112,78.52112,True,5.759999999999991,11.111040000000003,ltr
*Other,379.27,396.05463999999995,72.76112,72.76112,78.52112,True,5.759999999999991,16.784639999999968,ltr
Handgun,413.62,437.43184,72.76112,72.76112,78.52112,True,5.759999999999991,23.811840000000018,ltr
Long,450.58,463.37872,72.76112,72.76112,78.52112,True,5.759999999999991,12.798720000000003,ltr
Gun,465.20464,476.31568,72.76112,72.76112,78.52112,True,5.759999999999991,11.111040000000003,ltr
*Other,493.08,509.86463999999995,72.76112,72.76112,78.52112,True,5.759999999999991,16.784639999999968,ltr
Handgun,527.4,551.2118399999999,72.76112,72.76112,78.52112,True,5.759999999999991,23.81183999999996,ltr
Long,564.36,577.15872,72.76112,72.76112,78.52112,True,5.759999999999991,12.798720000000003,ltr
Gun,578.98464,590.09568,72.76112,72.76112,78.52112,True,5.759999999999991,11.111040000000003,ltr
*Other,606.86,623.6446400000001,72.76112,72.76112,78.52112,True,5.759999999999991,16.78464000000008,ltr
Handgun,641.18,664.9918399999999,72.76112,72.76112,78.52112,True,5.759999999999991,23.81183999999996,ltr
Long,678.17,690.96872,72.76112,72.76112,78.52112,True,5.759999999999991,12.798720000000003,ltr
Gun,692.79464,703.90568,72.76112,72.76112,78.52112,True,5.759999999999991,11.111040000000003,ltr
Handgun,717.05,740.8618399999999,72.76112,72.76112,78.52112,True,5.759999999999991,23.81183999999996,ltr
Long,754.01,766.80872,72.76112,72.76112,78.52112,True,5.759999999999991,12.798720000000003,ltr
Gun,768.63464,779.74568,72.76112,72.76112,78.52112,True,5.759999999999991,11.111040000000003,ltr
*Other,796.51,813.2946400000001,72.76112,72.76112,78.52112,True,5.759999999999991,16.78464000000008,ltr
Handgun,830.83,854.64184,72.76112,72.76112,78.52112,True,5.759999999999991,23.81183999999996,ltr
Long,867.79,880.58872,72.76112,72.76112,78.52112,True,5.759999999999991,12.798720000000003,ltr
Gun,882.41464,893.52568,72.76112,72.76112,78.52112,True,5.759999999999991,11.111040000000003,ltr
*Other,910.3,927.08464,72.76112,72.76112,78.52112,True,5.759999999999991,16.78464000000008,ltr
Totals,948.7,964.29232,72.76112,72.76112,78.52112,True,5.759999999999991,15.592319999999972,ltr
Alabama,43.2,65.83104,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,22.63104,ltr
"18,870",126.98,144.34640000000002,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,17.366400000000013,ltr
"23,022",159.38,176.7464,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,17.3664,ltr
"22,650",190.37,207.7364,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,17.3664,ltr
859,222.53,231.972944,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,9.442944000000011,ltr
"1,178",247.49,261.73448,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,14.24448000000001,ltr
0,285.91,289.11256000000003,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025600000000054,ltr
14,320.71,327.03275199999996,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,6.32275199999998,ltr
15,358.63,364.952752,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,6.32275199999998,ltr
0,399.7,402.90256,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025600000000054,ltr
"2,179",426.58,440.82448,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,14.24448000000001,ltr
"2,307",464.5,478.74448,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,14.24448000000001,ltr
11,510.36,516.6827519999999,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,6.322751999999923,ltr
0,551.4,554.6025599999999,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025599999999486,ltr
0,589.34,592.54256,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025599999999486,ltr
0,627.26,630.4625599999999,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025599999999486,ltr
13,737.93,744.2527519999999,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,6.322751999999923,ltr
14,775.87,782.1927519999999,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,6.322751999999923,ltr
0,816.91,820.1125599999999,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025599999999486,ltr
3,854.83,858.03256,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025599999999486,ltr
2,892.78,895.9825599999999,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025599999999486,ltr
0,930.7,933.90256,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,3.2025599999999486,ltr
"71,137",956.38,973.7464,80.44112000000007,80.44112000000007,86.20112000000006,True,5.759999999999991,17.3664,ltr
Alaska,43.2,60.318720000000006,87.64112,87.64112,93.40111999999999,True,5.759999999999991,17.118720000000003,ltr
209,134.9,144.34294400000002,87.64112,87.64112,93.40111999999999,True,5.759999999999991,9.442944000000011,ltr
"3,062",162.5,176.74448,87.64112,87.64112,93.40111999999999,True,5.759999999999991,14.24448000000001,ltr
"3,209",193.49,207.73448000000002,87.64112,87.64112,93.40111999999999,True,5.759999999999991,14.24448000000001,ltr
191,222.53,231.972944,87.64112,87.64112,93.40111999999999,True,5.759999999999991,9.442944000000011,ltr
184,252.29,261.732944,87.64112,87.64112,93.40111999999999,True,5.759999999999991,9.442943999999983,ltr
0,285.91,289.11256000000003,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025600000000054,ltr
9,323.83,327.03256,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025600000000054,ltr
3,361.75,364.95256,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025600000000054,ltr
0,399.7,402.90256,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025600000000054,ltr
100,431.38,440.822944,87.64112,87.64112,93.40111999999999,True,5.759999999999991,9.442944000000011,ltr
100,469.3,478.742944,87.64112,87.64112,93.40111999999999,True,5.759999999999991,9.442944000000011,ltr
0,513.48,516.68256,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
18,548.28,554.6027519999999,87.64112,87.64112,93.40111999999999,True,5.759999999999991,6.322751999999923,ltr
9,589.34,592.54256,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
1,627.26,630.4625599999999,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
0,741.05,744.2525599999999,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
0,778.99,782.19256,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
0,816.91,820.1125599999999,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
0,854.83,858.03256,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
0,892.78,895.9825599999999,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
0,930.7,933.90256,87.64112,87.64112,93.40111999999999,True,5.759999999999991,3.2025599999999486,ltr
"7,095",959.5,973.74448,87.64112,87.64112,93.40111999999999,True,5.759999999999991,14.244479999999953,ltr
Arizona,43.2,62.47872,94.84112000000005,94.84112000000005,100.60111999999998,True,5.759999999999934,19.27872,ltr
"2,303",130.1,144.34448,94.84112000000005,94.84112000000005,100.60111999999998,True,5.759999999999934,14.24448000000001,ltr
"12,382",159.38,176.7464,94.84112000000005,94.84112000000005,100.60111999999998,True,5.759999999999934,17.3664,ltr
"9,041",193.49,207.73448000000002,94.84112000000005,94.84112000000005,100.60111999999998,True,5.759999999999934,14.24448000000001,ltr
707,222.53,231.972944,94.84112000000005,94.84112000000005,100.60111999999998,True,5.759999999999934,9.442944000000011,ltr
618,252.29,261.732944,94.84112000000005,94.84112000000005,100.60111999999998,True,5.759999999999934,9.442943999999983,ltr
0,285.91,289.11256000000003,94.84112000000005,94.84112000000005,100.60111999999998,True,5.759999999999934,3.2025600000000054,ltr
